name,facts,description,icon,type,weapon_type,professions,slot,flags,id,chat_link
Whirling Axe,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|1200|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|0.3|Number of Attacks|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|15|Combo Finisher|ComboFinisher|https://render.guildwars2.com/file/A513F3653D33FBA4220D2D307799F8A327A36A3B/156656.png|100|Whirl,Spin and attack nearby foes. You can move while spinning.,https://render.guildwars2.com/file/ACBF2C0EE9B64FCF12BBA443D16A08256C07B7E0/102941.png,Profession,None,,Profession_2,NoUnderwater,1162,[&BooEAAA=]
Whirling Strike,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|150|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|1|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5,"Strike nearby foes, pushing them back.",https://render.guildwars2.com/file/3B72CF3E16A70F730DF1F897565A50147A4FCF7A/103490.png,Profession,None,,Profession_2,,1167,[&Bo8EAAA=]
Bandage,Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|5,Call your allies for help. Restores health while you channel it.,https://render.guildwars2.com/file/D2D7D11874060D68760BFD519CFC77B6DF14981F/102928.png,Weapon,None,"Guardian,Warrior,Engineer,Ranger,Thief,Elementalist,Mesmer,Necromancer,Revenant",Downed_4,,1175,[&BpcEAAA=]
Binding Roots,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|1000|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|2,Immobilizes foes until the roots are destroyed.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1279,[&Bv8EAAA=]
Slash,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|150,A basic melee attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1355,[&BksFAAA=]
Flurry,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|150|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|15,A series of melee attacks.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1359,[&Bk8FAAA=]
Whirlwind,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|150|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|15,A spinning area attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1364,[&BlQFAAA=]
Galloping Slash,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|750|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|12,A basic melee knockdown.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1408,[&BoAFAAA=]
Dual Attack,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|120,A basic melee attack.,https://render.guildwars2.com/file/FBD00439223B4710B62E5EBE5EC1293E9B070E45/103041.png,,,,,,1510,[&BuYFAAA=]
Shoot,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|1200|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|2,A basic projectile attack.,https://render.guildwars2.com/file/55AE93040FAA580E46FD9DF6CB09195232F3DA1C/102923.png,,,,,,1512,[&BugFAAA=]
Slash,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|150,A basic melee attack.,https://render.guildwars2.com/file/026978767419B72B1B75C20E97FA0CE0341EA4F2/103031.png,,,,,,1531,[&BvsFAAA=]
Stab,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|130,A lunging melee attack.,https://render.guildwars2.com/file/4CF36C6EF1F0FF18484518D57233E1AFEA3B3669/103045.png,,,,,,1539,[&BgMGAAA=]
Leap,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|300|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|15,A lunging melee attack.,https://render.guildwars2.com/file/73E76567754BC1703112D95A4898292D6A422D61/102922.png,,,,,,1541,[&BgUGAAA=]
Throw,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|840,A basic projectile attack.,https://render.guildwars2.com/file/C8273DFCA6FBA9D1E735112DDD05D8610D2148F7/103059.png,,,,,,1626,[&BloGAAA=]
Skull Bolas,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|840|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|20,A basic projectile attack.,https://render.guildwars2.com/file/C8273DFCA6FBA9D1E735112DDD05D8610D2148F7/103059.png,,,,,,1628,[&BlwGAAA=]
Stab,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|120,A basic melee attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1629,[&Bl0GAAA=]
Throw Javelin,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|600|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|20,A basic projectile attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1631,[&Bl8GAAA=]
Stab,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|90|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|2,A basic melee attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1641,[&BmkGAAA=]
Lunge,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|400|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|20,A lunging melee attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1642,[&BmoGAAA=]
Smash,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|100|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|15,A basic melee knockdown.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1644,[&BmwGAAA=]
Slash,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|120,A basic melee attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1691,[&BpsGAAA=]
Trample,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|170|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|12,A basic melee knockdown.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1932,[&BowHAAA=]
Slash,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|135,A basic melee attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,1940,[&BpQHAAA=]
Counter Attack,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|130|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|20,Block an attack and retaliate,https://render.guildwars2.com/file/FBD00439223B4710B62E5EBE5EC1293E9B070E45/103041.png,,,,,,1991,[&BscHAAA=]
Frost Trap,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|300|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|10|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/28C4EC547A3516AF0242E826772DA43A5EAC3DF3/102839.png|2|Chilled|Movement speed decreased by 66%; skill cooldown increased by 66%; stacks duration.|1,Set a trap that freezes foes.,https://render.guildwars2.com/file/016A1099CAC468ADEE056A30551C33C74101E5D3/103074.png,,,,,,1996,[&BswHAAA=]
Axe,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|120|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|15,A basic melee knockdown.,https://render.guildwars2.com/file/FBD00439223B4710B62E5EBE5EC1293E9B070E45/103041.png,,,,,,2013,[&Bt0HAAA=]
Cyclone Spin,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|120|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|7,A spinning area attack.,https://render.guildwars2.com/file/7594FAA56F64B7BE7668E8F804F1BBFC01DDEDB0/102822.png,,,,,,2014,[&Bt4HAAA=]
Sever Artery,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|130,A basic melee attack.,https://render.guildwars2.com/file/3040B9E8344BF32EA5ADB3FB632C4F01BFD0927D/103003.png,,,,,,2131,[&BlMIAAA=]
Gash,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|130,Chain. Bleed your foe with a gash.,https://render.guildwars2.com/file/44563D2C3BDCEB1524D2DB0F23713347CDE93D32/103004.png,,,,,,2132,[&BlQIAAA=]
Final Thrust,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|130,Strike your foe with a final powerful thrust.,https://render.guildwars2.com/file/71EB0DF5243A382A100E5ACB0870994D59BC47B7/103005.png,,,,,,2133,[&BlUIAAA=]
Slash,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|150|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|12,A melee stun.,https://render.guildwars2.com/file/1DCF048095440F767BA9669165272938EB967602/102927.png,,,,,,2134,[&BlYIAAA=]
Savage Leap,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|600|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|8|Combo Finisher|ComboFinisher|https://render.guildwars2.com/file/A513F3653D33FBA4220D2D307799F8A327A36A3B/156656.png|100|Leap,"Lunge at your foe, striking them with your sword.",https://render.guildwars2.com/file/F47AFFCAC1475EB0086C32AAB5AA1A6048F52A08/102778.png,,,,,,2135,[&BlcIAAA=]
Whirlwind Attack,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|450|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|12|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|0.4|Combo Finisher|ComboFinisher|https://render.guildwars2.com/file/A513F3653D33FBA4220D2D307799F8A327A36A3B/156656.png|100|Whirl,A spinning area attack.,https://render.guildwars2.com/file/3D0C289E02A7FD57D40F0A0A2AE352A49E4724C2/103093.png,,,,,,2136,[&BlgIAAA=]
Flurry,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|130|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|12,A series of melee attacks.,https://render.guildwars2.com/file/4CF36C6EF1F0FF18484518D57233E1AFEA3B3669/103045.png,,,,,,2302,[&Bv4IAAA=]
Punch,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|120,A basic melee attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,2365,[&Bj0JAAA=]
Branded Crystals,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|400|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|15,A basic multi-projectile attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,2367,[&Bj8JAAA=]
Slash,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|100,A basic melee attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,2397,[&Bl0JAAA=]
Slice,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|100,A basic melee attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,2399,[&Bl8JAAA=]
Ambush,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|600|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|8,A teleporting attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,2400,[&BmAJAAA=]
Ambush,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|600|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|8,A teleporting attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,2401,[&BmEJAAA=]
Ambush,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|110|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|8,A teleporting attack.,https://render.guildwars2.com/file/1D55D34FB4EE20B1962E315245E40CA5E1042D0E/62248.png,,,,,,2403,[&BmMJAAA=]
Spit,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|420,A basic projectile attack.,https://render.guildwars2.com/file/06B6D9999AD5DA1DF303F307116E0CC25B0D7B05/103131.png,,,,,,2433,[&BoEJAAA=]
Tar Pool,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|420|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|20,Creates a tar pool that slows enemies.,https://render.guildwars2.com/file/D617182703BF08BD90D498155C99CDD8D2FFE4F8/103132.png,,,,,,2434,[&BoIJAAA=]
